trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9102392266268373, 'e': 0.9925187343750002}",30,0,-72.23890747983326,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.7213475204444817, 'e': 0.9900374375390627}",30,0,-88.72490151690263,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.6213349345596119, 'e': 0.9875623439452151}",25,0,-96.06912613932523,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5581106265512472, 'e': 0.9850934380853521}",25,0,-79.16583373440346,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5138983423697507, 'e': 0.9826307044901388}",20,0,-145.7846135500862,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.48089834696298783, 'e': 0.9801741277289135}",30,0,-104.23099113179582,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.45511961331341866, 'e': 0.9777236924095912}",25,1,22.367385655680962,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.43429448190325176, 'e': 0.9752793831785673}",20,13,5.050289243547466,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.4170323914242463, 'e': 0.972841184720621}",20,0,-77.84871639736197,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.40242960438184466, 'e': 0.9704090817588195}",35,0,-164.59281821916483,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.3898712452512801, 'e': 0.9679830590544225}",25,5,-80.60266853273036,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.3789231816899512, 'e': 0.9655631014067865}",20,0,-162.77492236892303,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.36926937306885504, 'e': 0.9631491936532696}",20,0,-42.657466318943065,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.36067376022224085, 'e': 0.9607413206691364}",30,0,-114.68137155655486,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.35295612386476116, 'e': 0.9583394673674637}",20,0,-79.79496964378086,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.3459762562611936, 'e': 0.955943618699045}",30,0,-8.681144355654691,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.3396232718951086, 'e': 0.9535537596522975}",20,2,-5.2905556462184675,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.33380820069533407, 'e': 0.9511698752531668}",25,0,-140.12711242809576,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.3284587387530511, 'e': 0.948791950565034}",20,0,-150.41166549885443,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.32351545314867247, 'e': 0.9464199706886214}",20,0,-129.96994635806792,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
