trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-125.83428082963843,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-185.08540839616114,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-62.16170079879424,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-94.72304791079877,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,6,-93.54266933935904,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-171.12248495436523,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,7,-64.97811399389981,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-77.81774216806251,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-130.50815215798391,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-152.98189480493707,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-44.078261516712175,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,3,-106.3194953977919,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-140.23471646133837,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-36.99583522214501,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-198.28073214449384,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-70.56843935723225,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-112.50936594394707,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-157.39233425980527,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-76.9278406342439,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-191.06806423640802,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.37998286544341,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-129.55601998614057,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,21,-73.40247426457499,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-137.47833182832136,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.88891461511955,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-191.18454194327384,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-133.2573355129084,"{0: 6, 1: 2, 2: 11, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,4,-46.485575249419384,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-90.44501350644667,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-121.14634383277205,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
