number_of_trials,alpha,epsilon,number_of_penalties,destination_reached,time_left
2,0.0,0.0,0,False,0
3,0.5,0.5,2,True,19
4,0.3333333333333333,0.3333333333333333,22,True,0
5,0.25,0.25,18,True,3
6,0.2,0.2,5,True,11
7,0.16666666666666666,0.16666666666666666,1,True,17
8,0.14285714285714285,0.14285714285714285,7,True,14
9,0.125,0.125,3,True,9
10,0.1111111111111111,0.1111111111111111,1,True,12
11,0.1,0.1,4,True,18
12,0.09090909090909091,0.09090909090909091,15,True,14
13,0.08333333333333333,0.08333333333333333,1,True,27
14,0.07692307692307693,0.07692307692307693,7,True,29
15,0.07142857142857142,0.07142857142857142,5,True,19
16,0.06666666666666667,0.06666666666666667,10,True,9
17,0.0625,0.0625,3,True,11
18,0.058823529411764705,0.058823529411764705,0,True,35
19,0.05555555555555555,0.05555555555555555,2,True,0
20,0.05263157894736842,0.05263157894736842,1,True,15
21,0.05,0.05,2,True,17
22,0.047619047619047616,0.047619047619047616,1,True,33
23,0.045454545454545456,0.045454545454545456,2,True,16
24,0.043478260869565216,0.043478260869565216,7,True,7
25,0.041666666666666664,0.041666666666666664,4,True,37
26,0.04,0.04,1,True,19
27,0.038461538461538464,0.038461538461538464,7,True,9
28,0.037037037037037035,0.037037037037037035,2,True,19
29,0.03571428571428571,0.03571428571428571,1,True,13
30,0.034482758620689655,0.034482758620689655,4,True,9
31,0.03333333333333333,0.03333333333333333,2,True,12
32,0.03225806451612903,0.03225806451612903,6,True,25
33,0.03125,0.03125,2,True,15
34,0.030303030303030304,0.030303030303030304,5,True,4
35,0.029411764705882353,0.029411764705882353,1,True,19
36,0.02857142857142857,0.02857142857142857,5,True,26
37,0.027777777777777776,0.027777777777777776,3,True,35
38,0.02702702702702703,0.02702702702702703,2,True,9
39,0.02631578947368421,0.02631578947368421,1,True,21
40,0.02564102564102564,0.02564102564102564,7,True,17
41,0.025,0.025,1,True,39
42,0.024390243902439025,0.024390243902439025,3,True,19
43,0.023809523809523808,0.023809523809523808,2,True,31
44,0.023255813953488372,0.023255813953488372,31,True,0
45,0.022727272727272728,0.022727272727272728,9,True,4
46,0.022222222222222223,0.022222222222222223,3,True,17
47,0.021739130434782608,0.021739130434782608,5,True,13
48,0.02127659574468085,0.02127659574468085,1,True,25
49,0.020833333333333332,0.020833333333333332,1,True,13
50,0.02040816326530612,0.02040816326530612,0,True,25
51,0.02,0.02,2,True,13
52,0.0196078431372549,0.0196078431372549,3,True,8
53,0.019230769230769232,0.019230769230769232,9,True,11
54,0.018867924528301886,0.018867924528301886,1,True,43
55,0.018518518518518517,0.018518518518518517,3,True,31
56,0.01818181818181818,0.01818181818181818,5,True,16
57,0.017857142857142856,0.017857142857142856,0,True,22
58,0.017543859649122806,0.017543859649122806,2,True,14
59,0.017241379310344827,0.017241379310344827,1,True,24
60,0.01694915254237288,0.01694915254237288,1,True,13
61,0.016666666666666666,0.016666666666666666,2,True,9
62,0.01639344262295082,0.01639344262295082,1,True,25
63,0.016129032258064516,0.016129032258064516,5,True,13
64,0.015873015873015872,0.015873015873015872,3,True,9
65,0.015625,0.015625,2,True,18
66,0.015384615384615385,0.015384615384615385,5,True,9
67,0.015151515151515152,0.015151515151515152,6,True,15
68,0.014925373134328358,0.014925373134328358,1,True,13
69,0.014705882352941176,0.014705882352941176,5,True,9
70,0.014492753623188406,0.014492753623188406,3,True,23
71,0.014285714285714285,0.014285714285714285,4,True,13
72,0.014084507042253521,0.014084507042253521,3,True,17
73,0.013888888888888888,0.013888888888888888,3,True,15
74,0.0136986301369863,0.0136986301369863,4,True,9
75,0.013513513513513514,0.013513513513513514,0,True,15
76,0.013333333333333334,0.013333333333333334,0,True,33
77,0.013157894736842105,0.013157894736842105,5,True,0
78,0.012987012987012988,0.012987012987012988,8,True,9
79,0.01282051282051282,0.01282051282051282,4,True,12
80,0.012658227848101266,0.012658227848101266,2,True,37
81,0.0125,0.0125,4,True,4
82,0.012345679012345678,0.012345679012345678,7,True,5
83,0.012195121951219513,0.012195121951219513,3,True,11
84,0.012048192771084338,0.012048192771084338,4,True,10
85,0.011904761904761904,0.011904761904761904,1,True,13
86,0.011764705882352941,0.011764705882352941,5,True,18
87,0.011627906976744186,0.011627906976744186,1,True,13
88,0.011494252873563218,0.011494252873563218,1,True,27
89,0.011363636363636364,0.011363636363636364,3,True,23
90,0.011235955056179775,0.011235955056179775,4,True,17
91,0.011111111111111112,0.011111111111111112,6,True,9
92,0.01098901098901099,0.01098901098901099,0,True,25
93,0.010869565217391304,0.010869565217391304,1,True,11
94,0.010752688172043012,0.010752688172043012,6,True,11
95,0.010638297872340425,0.010638297872340425,19,True,0
96,0.010526315789473684,0.010526315789473684,0,True,21
97,0.010416666666666666,0.010416666666666666,1,True,45
98,0.010309278350515464,0.010309278350515464,3,True,21
99,0.01020408163265306,0.01020408163265306,4,True,27
100,0.010101010101010102,0.010101010101010102,9,True,9
101,0.01,0.01,5,True,7
