number_of_trials,number_of_penalties,destination_reached,time_left
2,0,False,0
3,69,True,0
4,55,True,0
5,8,True,3
6,60,True,0
7,80,False,0
8,3,True,24
9,24,True,0
10,81,False,0
11,39,True,0
12,31,True,0
13,72,False,0
14,90,False,0
15,9,True,27
16,35,True,0
17,88,False,0
18,74,True,0
19,3,True,16
20,70,True,0
21,13,True,16
22,74,True,0
23,73,False,0
24,68,False,0
25,80,False,0
26,67,False,0
27,38,True,0
28,81,False,0
29,9,True,1
30,36,True,0
31,75,False,0
32,50,True,0
33,39,True,0
34,86,True,0
35,80,False,0
36,2,True,24
37,18,True,9
38,63,False,0
39,80,False,0
40,12,True,13
41,32,True,0
42,74,True,0
43,24,True,0
44,19,True,12
45,89,False,0
46,67,True,0
47,85,False,0
48,11,True,12
49,37,True,0
50,69,True,0
51,71,True,0
52,79,False,0
53,17,True,0
54,47,True,0
55,9,True,0
56,48,True,0
57,88,False,0
58,30,True,0
59,22,True,0
60,72,False,0
61,8,True,3
62,77,False,0
63,28,True,0
64,55,True,0
65,37,True,0
66,69,False,0
67,44,True,0
68,81,False,0
69,11,True,1
70,29,True,6
71,76,False,0
72,20,True,1
73,6,True,21
74,12,True,27
75,74,False,0
76,82,False,0
77,65,True,0
78,12,True,8
79,77,False,0
80,32,True,0
81,22,True,7
82,9,True,19
83,17,True,0
84,25,True,0
85,64,True,0
86,86,False,0
87,77,False,0
88,73,False,0
89,74,True,0
90,72,False,0
91,26,True,0
92,77,False,0
93,76,False,0
94,10,True,26
95,25,True,0
96,63,False,0
97,36,True,0
98,71,True,0
99,33,True,0
100,6,True,10
101,25,True,21
